"last_name","Number of Each Last Name"
"Baba","226"
"Coorg","223"
"Gelosh","223"
"Sudbeck","222"
"Farris","222"
"Adachi","221"
"Osgood","220"
"Neiman","218"
"Masada","218"
"Mandell","218"
"Wendorf","217"
"Boudaillier","217"
"Pettis","216"
"Solares","216"
"Cummings","216"
"Mahnke","216"
"Collette","215"
"Kulisch","215"
"Emmart","215"
"Maksimenko","215"
"Birjandi","215"
"Scallan","214"
"Pokrovskii","214"
"Boguraev","214"
"Rosaz","214"
"Siksek","213"
"Wolniewicz","213"
"Stifter","213"
"Morrey","213"
"Herber","212"
"Swen","212"
"Garrabrants","212"
"Pramanik","212"
"Rajcani","212"
"Taubman","212"
"Siepmann","212"
"Peek","212"
"Rabehasaina","212"
"Ghemri","211"
"Kamber","211"
"Kitsuregawa","211"
"Ventosa","211"
"Asser","211"
"Gente","211"
"Barriga","211"
"Cangellaris","211"
"Bolsens","210"
"Schaaf","210"
"Driscoll","210"
"Redmiles","210"
"Luce","210"
"Khasidashvili","209"
"Gerlach","209"
"Flowers","209"
"Gewali","209"
"Malabarba","209"
"Lunt","209"
"Chenney","209"
"Serra","209"
"Lamparter","209"
"Zuberek","209"
"Panienski","208"
"Jenevein","208"
"Cesareni","208"
"Lowrie","208"
"Aloia","208"
"Gecsei","208"
"Angelopoulos","207"
"Garnier","207"
"Lamba","207"
"Akazan","207"
"Hebert","206"
"Gaughan","206"
"Perng","206"
"Duclos","206"
"Bondorf","206"
"Chimia","206"
"Foote","206"
"Braunmuhl","206"
"Garnham","205"
"Matzov","205"
"Shimshoni","205"
"Aamodt","205"
"DeMori","205"
"Siprelle","205"
"Panangaden","205"
"Encarnacion","205"
"Bennet","205"
"Lanphier","205"
"Geffroy","205"
"Ecklund","205"
"Emden","205"
"Marakhovsky","205"
"Ponthieu","205"
"Onuegbe","205"
"Coors","204"
"Shrader","204"
"Desikan","204"
"Argence","204"
"Malinowski","204"
"Luders","204"
"Linares","204"
"Swick","204"
"Legleitner","204"
"Whitcomb","204"
"Riexinger","204"
"Shiratori","204"
"Alpin","204"
"Champarnaud","203"
